f_timestamp,f_id,cluster_data,f_u_id
2023-03-24 21:00:06.109,4829,"[[2.5077827, 11.268496, 'cam_142'], [1.5739316, 10.638044, 'cam_142']]",0
2023-03-24 21:00:06.109,4235,"[[5.83503, 10.35634, 'cam_142']]",0
2023-03-24 21:00:06.194,7792,"[[8.830462, 3.7205513, 'cam_133']]",0
2023-03-24 21:00:06.194,8006,"[[2.308586, 2.7033632, 'cam_133']]",0
2023-03-24 21:00:06.194,3850,"[[5.949548, 5.857089, 'cam_133']]",0
2023-03-24 21:00:06.234,5837,"[[16.448694, 7.2417254, 'cam_141']]",0
2023-03-24 21:00:06.305,8225,"[[8.840867, 3.7289803, 'cam_133']]",0
2023-03-24 21:00:06.305,5073,"[[2.3436275, 2.681332, 'cam_133']]",0
2023-03-24 21:00:06.305,8348,"[[5.918557, 5.768519, 'cam_133']]",0
2023-03-24 21:00:06.365,6272,"[[2.0903542, 20.521679, 'cam_140']]",0
2023-03-24 21:00:06.365,4318,"[[4.905233, 12.837603, 'cam_140']]",0
2023-03-24 21:00:06.401,3960,"[[6.115857, 10.378415, 'cam_142']]",0
2023-03-24 21:00:06.401,9691,"[[2.5079632, 11.273026, 'cam_142'], [1.6964345, 10.56442, 'cam_142']]",0
2023-03-24 21:00:06.480,8701,"[[6.1221337, 10.382349, 'cam_142']]",0
2023-03-24 21:00:06.480,9393,"[[2.510893, 11.26951, 'cam_142'], [1.717922, 10.562257, 'cam_142']]",0
2023-03-24 21:00:06.538,5264,"[[1.7522987, 10.541641, 'cam_142'], [2.514811, 11.267221, 'cam_142']]",0
2023-03-24 21:00:06.538,2470,"[[6.162009, 10.356548, 'cam_142']]",0
2023-03-24 21:00:06.571,8937,"[[5.9424067, 5.549937, 'cam_133']]",0
2023-03-24 21:00:06.571,2087,"[[8.86996, -5.5679793, 'cam_133']]",0
2023-03-24 21:00:06.571,3441,"[[2.2976305, 3.18507, 'cam_133']]",4
2023-03-24 21:00:06.571,9266,"[[8.810895, 3.7498415, 'cam_133']]",0
2023-03-24 21:00:06.612,5468,"[[16.599686, 7.1283364, 'cam_141']]",0
2023-03-24 21:00:06.693,1284,"[[5.9262013, 5.540028, 'cam_133']]",0
2023-03-24 21:00:06.693,6357,"[[8.89588, -5.6766796, 'cam_133']]",0
2023-03-24 21:00:06.693,5130,"[[8.824209, 3.7379663, 'cam_133']]",0
2023-03-24 21:00:06.693,8231,"[[2.339257, 3.044736, 'cam_133']]",0
2023-03-24 21:00:06.772,3856,"[[2.1553495, 20.364244, 'cam_140']]",0
2023-03-24 21:00:06.836,2981,"[[2.532221, 11.279844, 'cam_142']]",0
2023-03-24 21:00:06.836,9816,"[[6.372109, 10.288139, 'cam_142']]",0
2023-03-24 21:00:06.906,7754,"[[16.674421, 7.2431126, 'cam_141']]",0
2023-03-24 21:00:06.938,2217,"[[5.9394813, 5.2485757, 'cam_133']]",0
2023-03-24 21:00:06.938,4776,"[[9.118012, -7.018444, 'cam_133']]",0
2023-03-24 21:00:06.938,1351,"[[8.685082, 3.935136, 'cam_133']]",0
2023-03-24 21:00:06.938,9773,"[[2.3047645, 3.840684, 'cam_133']]",0
2023-03-24 21:00:07.058,6234,"[[5.9191537, 5.1323953, 'cam_133']]",6
2023-03-24 21:00:07.058,4735,"[[2.3704674, 4.168108, 'cam_133']]",0
2023-03-24 21:00:07.058,6357,"[[8.868739, -6.5121713, 'cam_133']]",0
2023-03-24 21:00:07.058,7109,"[[8.79678, 3.7457607, 'cam_133']]",0
2023-03-24 21:00:07.154,2992,"[[6.539518, 10.277861, 'cam_142']]",0
2023-03-24 21:00:07.154,6438,"[[2.5343344, 11.272079, 'cam_142']]",0
2023-03-24 21:00:07.225,3686,"[[10.509342, 26.7024, 'cam_149']]",0
2023-03-24 21:00:07.225,9599,"[[2.957939, 13.858613, 'cam_149']]",0
2023-03-24 21:00:07.225,8991,"[[5.7455373, 7.494142, 'cam_149']]",0
2023-03-24 21:00:07.225,4338,"[[2.370307, 19.1528, 'cam_149']]",0
2023-03-24 21:00:07.328,6975,"[[8.791853, 3.753069, 'cam_133']]",3
2023-03-24 21:00:07.328,5945,"[[2.482675, 4.7210755, 'cam_133']]",0
2023-03-24 21:00:07.328,4224,"[[8.999984, -6.9049573, 'cam_133']]",0
2023-03-24 21:00:07.328,4081,"[[5.9047227, 5.093231, 'cam_133']]",0
2023-03-24 21:00:07.440,6588,"[[5.904999, 5.056642, 'cam_133']]",0
2023-03-24 21:00:07.440,6139,"[[9.035353, -7.0119305, 'cam_133']]",0
2023-03-24 21:00:07.440,9535,"[[2.5101163, 4.7370753, 'cam_133']]",0
2023-03-24 21:00:07.440,4101,"[[8.804924, 3.7438173, 'cam_133']]",0
2023-03-24 21:00:07.534,1424,"[[2.158311, 20.396719, 'cam_140'], [1.174642, 20.628126, 'cam_140']]",0
2023-03-24 21:00:07.614,6574,"[[2.3886867, 19.168873, 'cam_149']]",0
2023-03-24 21:00:07.614,4771,"[[3.0508432, 14.0272, 'cam_149']]",0
2023-03-24 21:00:07.614,4991,"[[5.2058253, 7.5683823, 'cam_149']]",0
2023-03-24 21:00:07.681,2019,"[[2.559201, 13.411263, 'cam_151'], [3.435078, 13.260675, 'cam_151']]",0
2023-03-24 21:00:07.761,1775,"[[1.1844971, 20.685686, 'cam_140'], [2.1612818, 20.393896, 'cam_140']]",0
2023-03-24 21:00:07.843,5232,"[[2.5535192, 13.40771, 'cam_151'], [3.4362884, 13.259253, 'cam_151']]",0
2023-03-24 21:00:07.937,9809,"[[2.2052023, 20.232357, 'cam_140'], [1.2398305, 20.45869, 'cam_140']]",0
2023-03-24 21:00:08.020,8333,"[[3.3797302, 13.281717, 'cam_151'], [2.5359993, 13.400156, 'cam_151']]",0
2023-03-24 21:00:08.099,5012,"[[2.5356236, 13.391516, 'cam_151'], [3.382026, 13.279975, 'cam_151']]",0
2023-03-24 21:00:08.184,5186,"[[2.5443714, 13.386543, 'cam_151'], [3.3796537, 13.280699, 'cam_151']]",0
2023-03-24 21:00:08.276,6678,"[[3.4096582, 13.273069, 'cam_151'], [2.5269291, 13.386896, 'cam_151']]",0
